Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,5,5,2,13,1,3.489260,0.371198,0,0,0
20,5,5,5,16,1,6.256271,0.665561,13,5,0
30,2,2,1,6,1,6.359100,0.709193,17,7,0
40,0,0,1,2,1,6.065532,0.707351,23,13,0
50,5,5,5,16,1,6.523911,0.729744,28,25,1
60,0,0,0,0,0,6.596416,0.731580,39,26,4
70,0,0,0,0,0,6.254584,0.681964,39,26,4
80,2,2,1,6,1,6.205107,0.671730,44,27,4
90,2,4,1,8,1,6.073187,0.658538,45,27,6
100,3,1,1,6,1,5.802538,0.632085,48,27,6
110,4,4,3,12,1,6.227296,0.680241,56,36,6
120,2,1,2,6,1,6.232949,0.680577,61,41,6
130,0,0,0,0,0,6.324015,0.683962,61,42,6
140,0,0,0,1,1,6.197609,0.668463,63,47,6
150,3,5,3,12,1,6.242594,0.675118,67,50,7
160,3,5,0,9,1,6.308030,0.676918,72,56,7
170,1,0,3,5,1,6.313686,0.676751,77,56,7
180,1,0,0,2,1,6.134736,0.657293,77,56,7
190,5,1,0,7,1,6.109730,0.655476,88,57,7
200,2,2,0,5,1,5.984244,0.644507,88,57,7
210,0,0,0,0,0,5.996311,0.649085,101,58,7
220,5,1,4,11,1,5.902603,0.634378,104,58,7
230,3,2,3,9,1,5.958222,0.639772,109,65,11
240,4,5,0,10,1,6.103602,0.658366,121,76,11
250,2,1,2,6,1,6.072673,0.653819,128,76,11
260,0,2,1,4,1,6.142118,0.659624,137,78,11
270,1,1,4,7,1,6.096780,0.652450,138,80,11
280,3,1,1,6,1,6.120125,0.657321,147,82,11
290,0,1,0,2,1,6.069018,0.653067,149,82,11
300,2,3,0,6,1,6.087186,0.652665,154,84,11
310,5,1,2,9,1,6.116731,0.653407,159,85,13
320,1,0,0,2,1,6.100075,0.651761,165,85,13
330,2,3,1,7,1,6.209107,0.665046,181,92,15
340,5,0,0,6,1,6.224086,0.667989,189,92,16
350,0,0,0,1,1,6.158857,0.659406,192,92,16
360,3,0,3,7,1,6.184350,0.659273,200,97,16
370,0,0,0,1,1,6.186920,0.662181,208,98,17
380,3,2,2,8,1,6.165141,0.659002,215,98,17
390,0,0,0,0,0,6.164307,0.658652,219,99,17
400,3,0,1,5,1,6.115475,0.652840,219,99,17
410,3,1,0,5,1,6.117394,0.654523,223,102,20
420,2,1,1,5,1,6.138560,0.656363,228,102,20
430,1,0,1,3,1,6.158092,0.657230,232,105,20
440,1,1,0,3,1,6.129695,0.653517,232,105,20
450,0,0,0,0,0,6.146544,0.656682,242,108,22
460,4,0,1,6,1,6.120255,0.652752,242,108,22
470,0,0,0,1,1,6.081152,0.650317,246,109,22
480,3,4,1,9,1,6.049523,0.646576,255,111,22
490,2,3,1,7,1,6.114258,0.654574,262,113,24
500,2,0,0,3,1,6.140065,0.658381,262,116,24
510,3,3,1,8,1,6.141466,0.659399,272,117,24
520,2,5,2,10,1,6.187854,0.665636,275,125,25
530,0,3,1,5,1,6.171959,0.664191,287,128,25
540,0,4,4,9,1,6.167910,0.664142,288,132,27
550,3,1,0,5,1,6.150973,0.663080,295,134,27
560,1,2,0,4,1,6.112819,0.660590,299,135,27
570,1,3,0,5,1,6.167648,0.667469,311,148,28
580,5,3,0,9,1,6.173597,0.668537,320,151,28
590,3,1,0,5,1,6.206569,0.675125,336,153,32
600,2,1,3,7,1,6.167434,0.670130,340,153,32
610,2,1,0,4,1,6.133042,0.666160,340,153,32
620,3,0,1,5,1,6.131465,0.665880,353,155,33
630,4,3,1,9,1,6.145085,0.666335,361,159,33
640,2,0,5,8,1,6.118698,0.662040,362,159,34
650,5,0,3,9,1,6.146396,0.664199,385,162,38
660,0,0,1,2,1,6.117445,0.662213,390,162,38
670,0,1,0,2,1,6.079930,0.656813,395,162,38
680,4,4,3,12,1,6.092939,0.658906,411,164,38
690,3,4,0,8,1,6.086087,0.659557,414,165,40
700,0,0,0,0,0,6.038114,0.655096,417,165,40
710,2,0,1,4,1,6.018258,0.652859,417,165,40
720,4,5,4,14,1,6.065322,0.658876,426,177,42
730,2,0,0,3,1,6.071183,0.660206,436,188,46
740,3,3,2,9,1,6.092430,0.661055,446,191,46
750,0,0,0,0,0,6.104677,0.663167,456,198,46
760,5,5,2,13,1,6.094618,0.662648,463,202,47
770,0,0,0,1,1,6.097250,0.664527,468,202,47
780,0,2,0,3,1,6.088338,0.662977,469,204,47
790,1,4,0,6,1,6.075239,0.661080,474,204,47
800,5,1,2,9,1,6.066154,0.659185,479,204,48
810,5,4,4,14,1,6.077966,0.659675,482,206,48
820,5,1,1,8,1,6.037432,0.656243,483,206,48
830,4,2,0,7,1,6.037360,0.654606,485,207,48
840,5,2,3,11,1,6.039052,0.654978,492,210,48
850,3,3,0,7,1,6.052005,0.656735,504,217,48
860,1,1,1,4,1,6.027980,0.653893,508,217,48
870,2,1,1,5,1,6.015665,0.651516,513,217,48
880,2,0,0,3,1,6.019564,0.653735,520,218,48
890,4,2,1,8,1,5.994745,0.651523,521,218,48
900,3,2,1,7,1,5.994052,0.650898,522,222,48
910,0,2,4,7,1,6.004952,0.651778,525,227,48
920,2,2,3,8,1,5.972951,0.648085,525,227,48
930,4,5,3,13,1,6.013764,0.651993,535,240,50
940,1,4,1,7,1,6.010599,0.650842,544,243,51
950,1,0,0,2,1,5.977366,0.646901,545,244,51
960,2,3,0,6,1,5.986055,0.647360,554,246,53
970,4,1,4,10,1,6.006266,0.649724,561,255,53
980,5,4,1,11,1,6.000307,0.649326,564,257,53
990,2,0,1,4,1,5.973635,0.647035,568,257,53
1000,5,2,2,10,1,5.989347,0.649322,584,258,53
1010,0,0,0,1,1,5.975277,0.648719,587,258,53
1020,0,0,0,0,0,5.968306,0.647969,591,258,53
1030,1,1,0,3,1,5.979095,0.649080,598,258,54
1040,3,4,3,11,1,5.951046,0.646043,599,258,54
1050,0,0,0,0,0,5.968766,0.648175,613,261,54
1060,4,0,0,5,1,5.970492,0.647771,618,264,54
1070,0,2,3,6,1,5.949040,0.645848,621,264,54
1080,2,2,0,5,1,5.943374,0.645499,621,270,55
1090,2,1,2,6,1,5.957007,0.646920,624,272,57
1100,4,0,1,6,1,5.978225,0.648909,631,274,57
1110,3,1,1,6,1,5.986490,0.649942,635,275,57
1120,4,0,3,8,1,6.013672,0.652520,647,281,59
1130,2,0,3,6,1,6.017703,0.653721,651,282,59
1140,1,4,1,7,1,6.032174,0.655484,656,285,59
1150,1,0,2,4,1,6.028342,0.655502,657,286,59
1160,3,2,0,6,1,5.997473,0.652266,657,286,59
1170,1,0,0,2,1,5.990419,0.651980,658,288,60
1180,5,0,3,9,1,5.959632,0.649521,663,288,60
1190,5,0,4,10,1,5.972989,0.650367,669,291,60
1200,1,0,0,2,1,5.983199,0.652001,675,292,61
1210,5,1,1,8,1,5.978922,0.651756,682,294,63
1220,0,0,0,0,0,5.966533,0.650390,687,299,63
1230,1,1,0,3,1,5.942409,0.647115,687,299,64
1240,0,3,4,8,1,5.954661,0.648439,695,301,64
1250,5,1,1,8,1,5.983179,0.652502,705,307,67
1260,0,0,0,0,0,6.001428,0.654985,716,316,68
1270,1,0,1,3,1,6.003255,0.654657,730,321,68
1280,5,2,0,8,1,5.991597,0.652979,732,326,70
1290,1,5,0,7,1,5.985834,0.652669,740,327,70
1300,0,0,0,0,0,5.971573,0.651262,744,327,70
1310,0,1,0,2,1,5.940854,0.648651,744,327,70
1320,0,0,0,1,1,5.934164,0.647685,748,331,73
1330,0,2,1,4,1,5.917057,0.646062,750,331,73
1340,0,0,0,1,1,5.903088,0.644096,751,331,73
1350,3,3,5,12,1,5.912397,0.644676,755,333,76
1360,5,5,0,11,1,5.922684,0.645886,762,335,77
1370,2,1,1,5,1,5.949020,0.649363,777,338,77
1380,0,0,0,0,0,5.922088,0.646608,778,338,77
1390,0,0,0,1,1,5.918094,0.646151,786,341,77
1400,0,0,2,3,1,5.893017,0.644247,786,341,77
1410,2,0,2,5,1,5.889837,0.644222,794,344,77
1420,1,3,0,5,1,5.870182,0.642044,795,344,77
1430,4,5,3,13,1,5.868266,0.641414,795,345,78
1440,0,0,0,1,1,5.864424,0.641456,801,347,78
1450,0,0,0,1,1,5.857469,0.640474,803,352,78
1460,5,3,0,9,1,5.862721,0.640734,817,354,78
1470,4,2,4,11,1,5.869951,0.641358,822,361,78
1480,5,5,3,14,1,5.899894,0.644512,830,370,90
1490,0,0,0,1,1,5.906327,0.645856,834,373,92
1500,4,2,5,12,1,5.896623,0.644346,836,375,92
1510,5,2,0,8,1,5.901134,0.645143,843,377,92
1520,0,0,0,1,1,5.906765,0.645316,847,377,94
1530,0,0,0,0,0,5.915204,0.646355,857,381,94
1540,5,3,4,13,1,5.901060,0.643874,861,381,95
1550,4,2,1,8,1,5.929248,0.647708,871,384,98
1560,2,3,1,7,1,5.922358,0.646935,873,384,99
1570,0,0,0,1,1,5.902988,0.644485,873,384,99
1580,5,0,0,6,1,5.894889,0.644072,877,391,100
1590,4,4,5,14,1,5.880398,0.642777,880,392,101
1600,5,5,0,11,1,5.903941,0.645857,886,398,105
1610,2,1,2,6,1,5.909490,0.645912,888,399,105
1620,0,0,0,0,0,5.906786,0.645289,891,401,105
1630,4,5,1,11,1,5.902841,0.644665,896,401,105
1640,2,5,2,10,1,5.894980,0.644003,899,407,105
1650,3,1,1,6,1,5.879523,0.642464,899,407,105
1660,3,0,0,4,1,5.877945,0.641933,905,408,105
1670,4,3,1,9,1,5.877393,0.641184,909,408,106
1680,3,1,2,7,1,5.881728,0.641268,915,411,106
1690,0,0,0,1,1,5.900387,0.643623,932,420,107
1700,1,0,0,2,1,5.910902,0.644715,943,421,107
1710,5,1,1,8,1,5.895597,0.643320,945,421,110
1720,1,0,2,4,1,5.878172,0.641689,949,421,110
1730,5,4,2,12,1,5.867970,0.640317,959,421,110
1740,3,3,1,8,1,5.865551,0.640240,961,422,110
1750,1,2,0,4,1,5.870560,0.640731,970,427,110
1760,3,1,1,6,1,5.891794,0.643153,986,430,115
1770,5,4,0,10,1,5.883248,0.642086,989,431,115
1780,3,4,0,8,1,5.883087,0.642329,989,432,115
1790,3,3,0,7,1,5.890248,0.643330,997,438,116
1800,0,1,0,2,1,5.878403,0.642683,999,438,116
1810,0,0,0,1,1,5.871232,0.641568,1006,438,116
1820,5,2,0,8,1,5.848285,0.638812,1006,438,116
1830,3,4,1,9,1,5.845725,0.638439,1010,439,116
1840,0,0,0,0,0,5.839858,0.637781,1014,439,116
1850,2,0,0,3,1,5.856203,0.639625,1034,442,118
1860,3,0,2,6,1,5.845694,0.638649,1034,442,118
1870,1,0,0,2,1,5.831661,0.637806,1038,442,118
1880,3,0,1,5,1,5.828908,0.637447,1040,443,119
1890,2,2,0,5,1,5.826260,0.637284,1044,447,119
1900,3,4,4,12,1,5.835458,0.638342,1047,456,119
1910,3,1,2,7,1,5.852609,0.639941,1056,467,122
1920,0,2,0,3,1,5.863011,0.640912,1064,473,122
1930,4,2,1,8,1,5.865486,0.640656,1065,475,123
1940,2,2,4,9,1,5.877292,0.642255,1076,477,123
1950,4,3,2,10,1,5.868331,0.641366,1079,478,123
1960,1,1,1,4,1,5.868584,0.641554,1088,484,123
1970,0,1,0,2,1,5.855162,0.640424,1089,484,123
1980,3,4,1,9,1,5.847910,0.640034,1091,489,123
1990,0,0,0,0,0,5.840711,0.639576,1098,489,123
2000,4,4,3,12,1,5.836940,0.638720,1101,490,123
2010,0,0,0,1,1,5.848220,0.640281,1112,495,125
2020,3,4,0,8,1,5.858869,0.640938,1118,498,125
2030,2,3,1,7,1,5.873174,0.642829,1122,503,127
2040,5,5,0,11,1,5.896804,0.645670,1146,509,129
2050,1,1,1,4,1,5.893408,0.645275,1152,510,129
2060,4,3,4,12,1,5.910323,0.647311,1181,515,130
2070,0,0,0,1,1,5.902588,0.646337,1181,517,130
2080,0,4,1,6,1,5.890919,0.644629,1182,517,130
2090,4,5,0,10,1,5.885483,0.643744,1184,517,130
2100,0,0,0,1,1,5.887110,0.644003,1184,519,130
2110,4,2,1,8,1,5.873198,0.642196,1184,519,130
2120,2,1,0,4,1,5.876298,0.642550,1188,525,130
2130,3,3,2,9,1,5.870383,0.641951,1188,525,130
2140,0,0,0,1,1,5.862821,0.641302,1190,528,130
2150,0,0,0,1,1,5.867140,0.641658,1199,529,130
2160,3,2,0,6,1,5.866636,0.641162,1202,530,130
2170,1,2,1,5,1,5.850598,0.639522,1202,530,130
2180,0,0,1,2,1,5.840688,0.638551,1202,530,130
2190,1,4,2,8,1,5.835121,0.638276,1202,531,132
2200,4,2,1,8,1,5.840577,0.639013,1211,532,133
2210,5,0,4,10,1,5.859841,0.641292,1224,539,135
2220,4,5,1,11,1,5.864793,0.641846,1226,542,135
2230,0,0,0,0,0,5.871348,0.642859,1239,545,136
2240,5,4,4,14,1,5.870772,0.642743,1247,554,136
2250,4,1,1,7,1,5.878864,0.643703,1253,557,137
2260,2,0,2,5,1,5.872176,0.643043,1260,557,137
2270,4,0,0,5,1,5.859721,0.641967,1261,557,137
2280,1,1,1,4,1,5.847206,0.640359,1263,557,139
2290,4,2,3,10,1,5.857577,0.641719,1271,558,139
2300,4,0,0,5,1,5.843298,0.640346,1271,558,139
2310,1,0,1,3,1,5.838392,0.639725,1276,564,139
2320,4,1,0,6,1,5.825052,0.638543,1277,564,139
2330,3,2,2,8,1,5.829628,0.638721,1282,567,139
2340,5,2,2,10,1,5.827265,0.638589,1286,570,139
2350,3,1,0,5,1,5.832995,0.639314,1297,571,139
2360,3,4,1,9,1,5.830995,0.639102,1300,571,140
2370,2,0,3,6,1,5.829510,0.638592,1302,575,140
2380,3,0,2,6,1,5.823731,0.637967,1303,575,140
2390,0,0,0,1,1,5.822826,0.637994,1311,577,141
2400,2,3,0,6,1,5.821436,0.637616,1319,580,141
2410,2,4,1,8,1,5.827325,0.637777,1328,583,141
2420,5,5,1,12,1,5.838379,0.638853,1343,589,141
2430,0,0,0,1,1,5.847498,0.640035,1353,598,141
2440,4,1,0,6,1,5.843526,0.639553,1357,599,141
2450,0,1,1,3,1,5.845433,0.639687,1361,599,141
2460,0,0,0,0,0,5.847921,0.639913,1366,601,141
2470,1,1,1,4,1,5.847360,0.639636,1371,603,141
2480,2,0,2,5,1,5.844926,0.639381,1376,609,141
2490,0,1,0,2,1,5.840662,0.638814,1379,610,141
2500,1,2,0,4,1,5.832153,0.637952,1381,612,141
2510,0,0,0,0,0,5.821562,0.636721,1381,613,141
2520,0,0,1,2,1,5.808313,0.635146,1381,613,141
2530,0,0,2,3,1,5.812502,0.635837,1385,620,142
2540,1,1,0,3,1,5.812478,0.635490,1389,620,142
2550,1,2,1,5,1,5.807220,0.634465,1389,620,142
2560,0,2,0,3,1,5.806585,0.633869,1398,622,142
2570,0,0,0,1,1,5.808531,0.633828,1401,624,142
2580,0,5,2,8,1,5.809068,0.634038,1405,630,143
2590,4,5,1,11,1,5.805143,0.633439,1408,634,143
2600,1,4,0,6,1,5.799310,0.632980,1410,635,143
2610,3,1,1,6,1,5.808514,0.633868,1421,642,144
2620,3,2,3,9,1,5.813897,0.634367,1432,642,144
2630,2,0,2,5,1,5.816234,0.634375,1440,642,144
2640,3,1,0,5,1,5.809154,0.633569,1444,642,144
2650,3,0,0,4,1,5.812169,0.633707,1449,647,144
2660,0,0,0,0,0,5.807379,0.633333,1450,647,144
2670,5,4,1,11,1,5.805100,0.633258,1457,651,144
2680,5,0,0,6,1,5.806798,0.633615,1464,651,144
2690,2,2,3,8,1,5.814609,0.634535,1471,652,146
2700,3,1,2,7,1,5.805291,0.633484,1471,652,146
2710,0,3,1,5,1,5.795647,0.632677,1472,652,146
2720,2,0,3,6,1,5.786256,0.631566,1472,652,146
2730,4,2,0,7,1,5.777340,0.630734,1472,652,146
2740,1,0,1,3,1,5.788374,0.631954,1481,653,147
2750,4,3,2,10,1,5.796883,0.632647,1489,655,148
2760,2,3,2,8,1,5.800601,0.633068,1492,661,148
2770,4,4,0,9,1,5.802946,0.633090,1494,663,148
2780,0,0,0,1,1,5.814938,0.634938,1500,667,152
2790,0,1,3,5,1,5.822638,0.635918,1509,673,155
2800,0,0,0,1,1,5.813124,0.635066,1512,673,155
2810,3,4,3,11,1,5.803434,0.633676,1512,673,155
2820,0,0,0,1,1,5.798553,0.633255,1512,674,155
2830,4,4,1,10,1,5.786094,0.631470,1512,674,155
2840,5,0,2,8,1,5.784579,0.630859,1518,675,155
2850,0,0,0,1,1,5.785388,0.630988,1525,676,155
2860,3,2,0,6,1,5.781904,0.630120,1525,676,155
2870,1,3,1,6,1,5.773071,0.629176,1527,676,155
2880,2,3,3,9,1,5.777416,0.629667,1534,678,155
2890,5,4,5,15,1,5.780615,0.629820,1539,682,155
2900,3,5,2,11,1,5.794798,0.631526,1550,689,156
2910,0,0,0,1,1,5.792653,0.631169,1550,691,156
2920,1,0,1,3,1,5.799619,0.632158,1567,697,158
2930,2,3,5,11,1,5.800801,0.632352,1572,705,158
2940,4,0,0,5,1,5.803595,0.632767,1579,706,159
2950,0,0,0,1,1,5.798685,0.632272,1582,706,159
2960,0,2,1,4,1,5.797320,0.632117,1585,706,159
2970,5,2,3,11,1,5.803727,0.632855,1596,709,159
2980,0,0,0,1,1,5.805536,0.633347,1601,715,160
2990,4,1,0,6,1,5.805111,0.632900,1610,717,160
3000,1,1,1,4,1,5.792244,0.631743,1610,717,160
3010,2,1,1,5,1,5.785302,0.631139,1614,720,160
3020,3,1,1,6,1,5.791358,0.631975,1620,723,160
3030,1,0,1,3,1,5.792989,0.632099,1629,725,162
3040,5,5,2,13,1,5.795111,0.632300,1637,732,162
3050,3,0,3,7,1,5.797026,0.632501,1648,735,165
3060,3,1,1,6,1,5.790711,0.631894,1648,735,165
3070,4,2,1,8,1,5.793271,0.632210,1656,738,167
3080,0,0,0,0,0,5.794928,0.632518,1659,738,167
3090,2,2,0,5,1,5.796274,0.632723,1665,738,167
3100,1,0,0,2,1,5.794192,0.632777,1667,739,167
3110,0,0,0,0,0,5.792037,0.632598,1677,739,167
3120,3,1,1,6,1,5.784065,0.631806,1679,740,167
3130,0,1,0,2,1,5.786816,0.631766,1686,741,168
3140,0,1,1,3,1,5.781163,0.631184,1688,741,169
3150,3,1,1,6,1,5.789761,0.632004,1698,747,171
3160,0,0,0,1,1,5.783184,0.631452,1698,747,171
3170,1,1,1,4,1,5.775714,0.630628,1699,747,171
3180,0,0,0,0,0,5.770054,0.629871,1699,750,171
3190,2,1,1,5,1,5.770462,0.629799,1705,758,171
3200,3,2,0,6,1,5.760288,0.628681,1708,758,171
3210,3,3,2,9,1,5.757542,0.628309,1709,758,171
3220,2,4,2,9,1,5.769857,0.629816,1723,765,171
3230,2,0,0,3,1,5.777828,0.630656,1729,774,171
3240,4,0,0,5,1,5.778284,0.630634,1736,779,171
3250,2,0,2,5,1,5.772165,0.629959,1743,779,171
3260,5,3,2,11,1,5.780655,0.630624,1752,787,171
3270,1,1,0,3,1,5.780528,0.630708,1761,787,172
3280,0,0,0,1,1,5.782503,0.630937,1769,789,172
3290,4,2,2,9,1,5.782140,0.630932,1773,791,172
3300,2,1,0,4,1,5.786654,0.631209,1780,796,174
3310,2,0,0,3,1,5.783421,0.630953,1786,796,175
3320,0,0,0,0,0,5.778141,0.630287,1789,796,175
3330,0,0,0,1,1,5.778275,0.630275,1796,800,175
3340,0,2,0,3,1,5.785994,0.631172,1813,808,175
3350,1,3,0,5,1,5.783064,0.631072,1819,809,175
3360,0,0,0,0,0,5.783078,0.631312,1827,813,176
3370,1,0,2,4,1,5.776699,0.630587,1827,813,176
3380,5,0,0,6,1,5.765901,0.629339,1828,813,176
3390,1,2,1,5,1,5.772804,0.629963,1833,816,176
3400,0,0,0,1,1,5.774032,0.630191,1838,820,177
3410,3,2,3,9,1,5.766162,0.628962,1838,820,177
3420,0,0,0,0,0,5.763255,0.628799,1842,820,177
3430,4,0,1,6,1,5.763116,0.628817,1846,820,177
3440,2,2,2,7,1,5.763574,0.628740,1853,821,177
3450,0,0,0,1,1,5.757689,0.628171,1853,823,177
3460,0,0,0,0,0,5.750077,0.627354,1855,823,177
3470,1,0,0,2,1,5.742576,0.626489,1855,823,177
3480,4,2,2,9,1,5.746443,0.626747,1860,826,178
3490,2,1,0,4,1,5.738721,0.626173,1861,826,178
3500,0,0,0,1,1,5.733642,0.625670,1861,826,179
3510,0,3,0,4,1,5.739506,0.626128,1870,827,180
3520,2,2,0,5,1,5.738227,0.625885,1877,827,180
3530,0,0,0,1,1,5.744032,0.626667,1881,831,182
3540,0,0,0,1,1,5.744203,0.626930,1884,846,182
3550,2,1,1,5,1,5.734743,0.625756,1884,846,182
3560,1,0,0,2,1,5.735052,0.625783,1889,849,183
3570,1,2,1,5,1,5.727822,0.624891,1889,849,183
3580,4,2,0,7,1,5.727106,0.624921,1895,849,183
3590,2,0,0,3,1,5.725084,0.624656,1901,849,183
3600,4,2,0,7,1,5.727933,0.624903,1905,855,183
3610,5,3,2,11,1,5.733539,0.625414,1915,860,183
3620,5,0,1,7,1,5.738994,0.625814,1923,867,183
3630,4,0,0,5,1,5.739156,0.625864,1926,869,183
3640,4,1,0,6,1,5.738247,0.625235,1928,869,183
3650,4,1,0,6,1,5.734679,0.624879,1932,871,183
3660,3,3,2,9,1,5.728889,0.624188,1932,871,184
3670,2,1,1,5,1,5.722405,0.623589,1932,871,184
3680,0,0,0,1,1,5.726508,0.623995,1940,872,186
3690,0,0,0,0,0,5.721405,0.623490,1942,872,186
3700,0,0,0,1,1,5.712695,0.622756,1942,872,186
3710,3,4,0,8,1,5.711728,0.622683,1945,872,186
3720,1,4,0,6,1,5.708302,0.622249,1948,873,186
3730,3,3,0,7,1,5.702340,0.621540,1951,873,186
3740,1,4,1,7,1,5.697527,0.620866,1954,873,186
3750,0,0,1,2,1,5.690405,0.619960,1955,873,186
3760,0,0,0,0,0,5.682499,0.619508,1957,873,186
3770,0,0,0,1,1,5.679248,0.619238,1962,874,186
3780,3,0,3,7,1,5.680761,0.619451,1966,875,186
3790,4,1,0,6,1,5.678617,0.619444,1971,875,186
3800,1,0,2,4,1,5.672669,0.618789,1971,875,186
3810,1,0,1,3,1,5.664538,0.617879,1971,875,186
3820,0,0,0,0,0,5.655919,0.616968,1971,875,186
3830,5,3,1,10,1,5.651020,0.616358,1971,875,186
3840,2,3,2,8,1,5.654324,0.616765,1978,877,186
3850,0,0,1,2,1,5.656235,0.617003,1988,877,188
3860,2,1,0,4,1,5.660118,0.617473,1998,881,188
3870,0,0,3,4,1,5.657549,0.617205,2006,884,189
3880,0,3,0,4,1,5.656503,0.616877,2007,884,189
3890,0,1,0,2,1,5.656645,0.617250,2014,890,191
3900,4,3,1,9,1,5.651766,0.616746,2018,890,191
3910,0,0,0,0,0,5.654411,0.617356,2029,893,191
3920,1,3,1,6,1,5.649577,0.616770,2031,893,191
3930,5,4,1,11,1,5.654045,0.617268,2048,893,191
3940,3,0,1,5,1,5.656180,0.617442,2054,899,191
3950,3,0,1,5,1,5.651412,0.616813,2054,899,191
3960,0,1,0,2,1,5.648629,0.616639,2059,899,191
3970,3,2,0,6,1,5.640750,0.615857,2059,899,191
3980,5,3,1,10,1,5.643707,0.616088,2066,900,191
3990,1,1,0,3,1,5.641156,0.615820,2070,901,191
4000,1,0,0,2,1,5.636400,0.615244,2070,901,191
4010,5,0,1,7,1,5.632487,0.614793,2071,902,191
4020,2,0,0,3,1,5.629797,0.614560,2072,903,192
4030,4,2,2,9,1,5.628658,0.614379,2077,903,192
4040,1,3,1,6,1,5.628924,0.614618,2084,904,192
4050,2,3,2,8,1,5.622577,0.613951,2084,904,192
4060,4,5,0,10,1,5.627024,0.614479,2089,905,195
4070,4,1,1,7,1,5.639902,0.616110,2102,913,205
4080,3,1,0,5,1,5.643346,0.616511,2106,919,205
4090,4,0,0,5,1,5.644154,0.616674,2115,919,208
4100,3,4,0,8,1,5.649294,0.617146,2121,921,211
4110,0,0,0,1,1,5.652701,0.617593,2129,921,213
4120,0,0,1,2,1,5.644793,0.616884,2129,921,213
4130,5,3,0,9,1,5.648105,0.617010,2135,927,213
4140,0,0,0,1,1,5.656355,0.617936,2145,930,216
4150,5,1,1,8,1,5.665879,0.619148,2155,937,224
4160,3,2,0,6,1,5.670345,0.619596,2167,939,224
4170,4,3,1,9,1,5.672666,0.619647,2170,941,227
4180,0,0,0,1,1,5.677544,0.620059,2185,946,228
4190,5,2,1,9,1,5.676024,0.619773,2193,948,228
4200,1,4,2,8,1,5.673935,0.619618,2201,950,228
4210,2,2,2,7,1,5.679729,0.620196,2205,956,229
4220,0,1,0,2,1,5.677950,0.620188,2208,958,229
4230,2,5,1,9,1,5.670771,0.619476,2208,960,229
4240,5,5,3,14,1,5.681309,0.620844,2227,968,236
4250,0,0,0,0,0,5.684350,0.621232,2237,973,236
4260,2,1,0,4,1,5.676003,0.620344,2237,973,236
4270,1,2,0,4,1,5.670367,0.619752,2237,974,236
4280,4,3,1,9,1,5.677878,0.620803,2247,982,238
4290,1,5,2,9,1,5.686606,0.621748,2262,989,245
4300,4,2,4,11,1,5.692944,0.622496,2273,994,246
4310,2,1,0,4,1,5.691480,0.622343,2276,994,246
4320,0,0,0,0,0,5.687573,0.621923,2279,994,246
4330,3,2,2,8,1,5.682665,0.621331,2279,994,247
4340,2,2,1,6,1,5.686150,0.621860,2292,996,247
4350,1,0,0,2,1,5.688320,0.622229,2295,1002,247
4360,0,1,0,2,1,5.684517,0.621726,2297,1003,247
4370,2,1,0,4,1,5.678697,0.621019,2297,1003,247
4380,0,0,0,0,0,5.671783,0.620331,2297,1004,247
4390,4,3,0,8,1,5.675802,0.620808,2303,1006,247
4400,1,2,0,4,1,5.675897,0.620687,2310,1007,247
4410,0,0,0,1,1,5.669658,0.620211,2312,1007,247
4420,0,0,0,1,1,5.669321,0.620196,2315,1010,247
4430,1,2,3,7,1,5.660925,0.619437,2315,1010,247
4440,3,5,0,9,1,5.657325,0.619095,2316,1013,247
4450,3,4,3,11,1,5.656325,0.618854,2322,1013,247
4460,4,2,2,9,1,5.658221,0.618870,2333,1016,249
4470,5,1,2,9,1,5.656543,0.618754,2339,1016,249
4480,3,1,0,5,1,5.657957,0.618899,2348,1018,249
4490,3,0,1,5,1,5.657398,0.618769,2350,1020,249
4500,5,2,1,9,1,5.660274,0.618940,2356,1026,249
4510,1,0,0,2,1,5.661401,0.619265,2365,1030,249
4520,3,2,0,6,1,5.662969,0.619233,2366,1031,249
4530,3,2,1,7,1,5.662429,0.619076,2369,1032,249
4540,5,2,1,9,1,5.664351,0.619398,2374,1032,250
4550,5,1,1,8,1,5.668460,0.619913,2385,1035,250
4560,5,3,1,10,1,5.672370,0.620407,2394,1039,250
4570,3,5,4,13,1,5.679944,0.621257,2407,1044,251
4580,3,1,0,5,1,5.685609,0.621942,2418,1057,253
4590,0,1,1,3,1,5.684802,0.621860,2424,1057,253
4600,2,5,0,8,1,5.690977,0.622527,2431,1061,254
4610,5,0,2,8,1,5.693694,0.622860,2443,1064,257
4620,5,0,1,7,1,5.697963,0.623421,2463,1068,258
4630,0,0,1,2,1,5.700909,0.623809,2476,1070,259
4640,5,3,0,9,1,5.702140,0.623861,2483,1070,259
4650,3,5,1,10,1,5.707551,0.624503,2494,1074,265
4660,5,3,5,14,1,5.717477,0.625668,2509,1087,266
4670,3,1,0,5,1,5.723847,0.626591,2522,1092,269
4680,3,1,4,9,1,5.722547,0.626542,2523,1092,269
4690,4,3,0,8,1,5.720360,0.626219,2525,1092,269
4700,0,0,0,1,1,5.715599,0.625791,2526,1092,269
4710,0,0,0,0,0,5.719379,0.625991,2536,1096,272
4720,0,0,2,3,1,5.713060,0.625044,2536,1096,272
