Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W],PerdasF1,PerdasF2,PerdasF3
10,0,0,4,5,1,7.200279,0.699056,0,0,0
20,0,3,13,17,1,7.369738,0.682383,0,0,0
30,3,2,20,26,1,11.097779,1.046960,0,0,6
40,4,0,13,18,1,13.968020,1.376160,0,0,24
50,0,0,1,2,1,14.854752,1.467861,0,0,41
60,0,2,9,12,1,13.002763,1.298113,0,0,41
70,3,2,20,26,1,13.902943,1.384361,0,0,45
80,1,1,12,15,1,14.780000,1.512021,0,0,57
90,2,0,6,9,1,14.098402,1.451781,0,0,57
100,3,2,15,21,1,13.485749,1.381737,0,0,57
110,0,2,4,7,1,13.420159,1.386120,0,0,66
120,2,4,20,27,1,13.652508,1.393113,0,0,75
130,7,4,15,27,1,14.452844,1.465577,0,0,81
140,3,2,13,19,1,14.937100,1.512071,0,0,88
150,0,0,1,2,1,14.563356,1.483030,0,0,88
160,0,1,3,5,1,14.018536,1.428641,0,0,88
170,3,3,17,24,1,14.128244,1.431348,0,0,92
180,3,4,17,25,1,14.423866,1.461878,0,0,97
190,1,1,19,22,1,14.784589,1.502981,0,0,103
200,3,3,17,24,1,15.362364,1.571597,0,0,128
210,0,0,1,2,1,15.380956,1.579462,0,0,134
220,1,0,6,8,1,14.813971,1.520090,0,0,134
230,1,1,11,14,1,14.827471,1.517721,0,0,134
240,1,0,0,2,1,14.567928,1.500559,0,0,134
250,0,2,3,6,1,14.360760,1.471993,0,0,134
260,0,1,12,14,1,14.072337,1.445027,0,0,134
270,0,0,2,3,1,13.694539,1.412347,0,0,134
280,4,1,11,17,1,13.530970,1.396488,0,0,134
290,1,1,13,16,1,13.812291,1.425975,0,0,143
300,5,5,19,30,1,14.121799,1.457860,0,0,158
310,8,2,16,27,1,14.549062,1.506919,0,0,175
320,0,0,4,5,1,14.552636,1.516887,0,0,175
330,0,0,0,0,0,14.389535,1.504609,0,0,175
340,2,2,14,19,1,14.261472,1.480580,0,0,177
350,1,2,8,12,1,14.235459,1.479777,0,0,177
360,0,0,1,2,1,14.021545,1.457204,0,0,177
370,5,4,14,24,1,14.037799,1.454083,0,0,178
380,5,5,19,30,1,14.269791,1.480754,0,0,187
390,6,0,13,20,1,14.451762,1.503384,0,0,193
400,1,1,9,12,1,14.564810,1.510872,0,0,196
410,1,0,8,10,1,14.261770,1.489006,0,0,196
420,0,1,10,12,1,14.381378,1.501038,0,0,196
430,2,0,12,15,1,14.293503,1.488907,0,0,196
440,1,1,19,22,1,14.435590,1.504420,0,0,213
450,1,0,4,6,1,14.448134,1.505711,0,0,219
460,1,0,3,5,1,14.358016,1.493260,0,0,219
470,0,1,3,5,1,14.212176,1.477161,0,0,219
480,2,0,8,11,1,14.118043,1.466492,0,0,219
490,1,0,10,12,1,14.129103,1.465550,0,0,220
500,2,2,16,21,1,14.282824,1.484084,0,0,243
510,1,3,9,14,1,14.337890,1.489575,0,0,245
520,0,0,16,17,1,14.220654,1.480132,0,0,245
530,1,2,10,14,1,14.129009,1.464862,0,0,245
540,0,0,15,16,1,14.205033,1.468642,0,0,250
550,0,0,7,8,1,14.114487,1.456467,0,0,250
560,0,0,0,0,0,14.055987,1.452547,0,0,250
570,4,3,15,23,1,13.977479,1.439415,0,0,250
580,4,5,17,27,1,14.087056,1.452016,0,0,263
590,0,0,2,3,1,14.110068,1.458213,0,0,271
600,1,0,10,12,1,14.059324,1.451410,0,0,281
610,0,1,20,22,1,14.164995,1.455880,0,0,284
620,1,3,15,20,1,14.242084,1.464117,0,0,293
630,2,0,14,17,1,14.341623,1.478034,0,0,301
640,0,0,6,7,1,14.287339,1.475536,0,0,303
650,0,0,3,4,1,14.146770,1.463304,0,0,303
660,1,1,3,6,1,13.986908,1.446695,0,0,303
670,0,0,2,3,1,13.867091,1.432683,0,0,303
680,3,1,10,15,1,13.844938,1.428396,0,0,303
690,0,0,14,15,1,13.808165,1.424373,0,0,303
700,0,1,8,10,1,13.836215,1.428307,0,0,303
710,1,0,8,10,1,13.721905,1.417717,0,0,303
720,2,3,15,21,1,13.720142,1.415055,0,0,305
730,1,3,8,13,1,13.735017,1.417382,0,0,305
740,0,1,4,6,1,13.713000,1.415091,0,0,305
750,0,0,4,5,1,13.620857,1.406338,0,0,305
760,0,1,1,3,1,13.504379,1.394853,0,0,305
770,0,1,8,10,1,13.485965,1.391983,0,0,305
780,4,2,14,21,1,13.491468,1.391057,0,0,305
790,0,0,8,9,1,13.580204,1.401667,0,0,316
800,0,0,2,3,1,13.496471,1.394624,0,0,316
810,0,0,0,1,1,13.338926,1.384664,0,0,316
820,0,2,7,10,1,13.231083,1.373875,0,0,316
830,1,0,7,9,1,13.249481,1.374118,0,0,316
840,4,0,17,22,1,13.304281,1.377832,0,0,318
850,1,7,19,28,1,13.437908,1.393294,0,0,344
860,3,3,19,26,1,13.533357,1.403266,0,0,359
870,1,1,11,14,1,13.615356,1.411506,0,0,362
880,0,1,9,11,1,13.606265,1.410308,0,0,362
890,1,1,12,15,1,13.623790,1.413026,0,0,364
900,0,0,0,1,1,13.536449,1.405979,0,0,364
910,3,1,14,19,1,13.571304,1.406593,0,0,365
920,4,2,18,25,1,13.617858,1.411495,0,0,372
930,3,4,18,26,1,13.738150,1.425151,0,0,397
940,2,3,19,25,1,13.833092,1.434746,0,0,415
950,1,4,19,25,1,13.930828,1.446845,0,0,433
960,1,1,1,4,1,13.949829,1.449961,0,0,433
970,0,1,2,4,1,13.844345,1.439029,0,0,433
980,0,0,0,1,1,13.743068,1.429139,0,0,433
990,2,3,13,19,1,13.691896,1.420410,0,0,433
1000,0,2,10,13,1,13.767551,1.429059,0,0,435
1010,0,0,0,0,0,13.685137,1.421284,0,0,435
1020,0,2,18,21,1,13.663470,1.414897,0,0,435
1030,1,1,7,10,1,13.690798,1.417381,0,0,437
1040,0,0,4,5,1,13.693683,1.417481,0,0,437
1050,3,0,20,24,1,13.702871,1.418936,0,0,442
1060,3,1,17,22,1,13.767421,1.426815,0,0,450
1070,5,2,19,27,1,13.828215,1.431658,0,0,456
1080,1,0,6,8,1,13.835526,1.433458,0,0,462
1090,0,0,11,12,1,13.854825,1.433485,0,0,466
1100,1,0,2,4,1,13.854094,1.433362,0,0,466
1110,0,0,3,4,1,13.798139,1.427394,0,0,466
1120,0,0,3,4,1,13.724993,1.421490,0,0,466
1130,0,2,9,12,1,13.690782,1.418149,0,0,466
1140,4,1,17,23,1,13.731471,1.421658,0,0,472
1150,0,1,1,3,1,13.722205,1.420390,0,0,473
1160,3,1,9,14,1,13.650225,1.412764,0,0,473
1170,0,2,13,16,1,13.673701,1.415021,0,0,473
1180,2,2,17,22,1,13.657223,1.412403,0,0,473
1190,0,0,1,2,1,13.647821,1.412376,0,0,473
1200,0,0,3,4,1,13.607937,1.407596,0,0,473
1210,0,0,0,0,0,13.511292,1.399595,0,0,473
1220,1,1,12,15,1,13.448474,1.392205,0,0,473
1230,2,4,7,14,1,13.445362,1.391953,0,0,473
1240,1,3,14,19,1,13.488715,1.395229,0,0,481
1250,0,0,6,7,1,13.501160,1.397057,0,0,481
1260,0,1,8,10,1,13.461303,1.392434,0,0,481
1270,0,2,3,6,1,13.415663,1.387451,0,0,481
1280,0,1,8,10,1,13.356081,1.381477,0,0,481
1290,2,3,14,20,1,13.369634,1.382179,0,0,481
1300,2,1,16,20,1,13.427838,1.388939,0,0,491
1310,3,2,10,16,1,13.497237,1.396192,0,0,496
1320,0,2,9,12,1,13.481662,1.394983,0,0,496
1330,1,0,5,7,1,13.471016,1.393192,0,0,496
1340,1,2,13,17,1,13.503519,1.396305,0,0,496
1350,4,5,16,26,1,13.572194,1.402194,0,0,516
1360,1,0,9,11,1,13.623896,1.408583,0,0,516
1370,2,2,7,12,1,13.636913,1.410112,0,0,516
1380,0,0,6,7,1,13.589468,1.406967,0,0,516
1390,0,0,5,6,1,13.523631,1.400943,0,0,516
1400,3,6,18,28,1,13.549778,1.402980,0,0,535
1410,1,3,13,18,1,13.647784,1.414850,0,0,549
1420,0,0,0,0,0,13.602284,1.411830,0,0,549
1430,0,1,16,18,1,13.596873,1.409769,0,0,549
1440,1,4,16,22,1,13.637607,1.413427,0,0,555
1450,1,0,0,2,1,13.620461,1.412810,0,0,555
1460,2,2,8,13,1,13.583384,1.409105,0,0,555
1470,1,1,10,13,1,13.591454,1.409385,0,0,555
1480,1,0,13,15,1,13.602626,1.410685,0,0,555
1490,2,4,15,22,1,13.664152,1.418194,0,0,565
1500,0,0,5,6,1,13.676575,1.420205,0,0,577
1510,0,2,19,22,1,13.671240,1.418023,0,0,579
1520,3,3,19,26,1,13.728671,1.424117,0,0,593
1530,0,1,9,11,1,13.723374,1.422930,0,0,593
1540,1,1,3,6,1,13.685187,1.418631,0,0,593
1550,0,0,0,0,0,13.613727,1.411740,0,0,593
1560,0,0,0,1,1,13.553492,1.405908,0,0,593
1570,2,0,6,9,1,13.509718,1.399832,0,0,593
1580,1,1,3,6,1,13.476449,1.395699,0,0,593
1590,0,1,2,4,1,13.414987,1.389928,0,0,593
1600,0,2,13,16,1,13.410907,1.388472,0,0,593
1610,1,0,4,6,1,13.406124,1.388208,0,0,593
1620,0,0,1,2,1,13.357348,1.382678,0,0,593
1630,0,0,0,1,1,13.285876,1.376906,0,0,593
1640,3,2,7,13,1,13.319059,1.379168,0,0,600
1650,0,2,6,9,1,13.284349,1.376055,0,0,600
1660,1,0,7,9,1,13.278257,1.374527,0,0,600
1670,0,1,7,9,1,13.242311,1.370347,0,0,600
1680,2,1,18,22,1,13.278519,1.372457,0,0,610
1690,0,0,8,9,1,13.291470,1.373774,0,0,612
1700,1,1,18,21,1,13.254871,1.369471,0,0,613
1710,1,0,10,12,1,13.287707,1.373925,0,0,618
1720,0,0,0,0,0,13.241645,1.369221,0,0,618
1730,1,0,5,7,1,13.179348,1.364305,0,0,618
1740,1,2,12,16,1,13.136566,1.359440,0,0,618
1750,3,1,16,21,1,13.159338,1.361204,0,0,618
1760,1,0,13,15,1,13.204661,1.366428,0,0,620
1770,2,1,14,18,1,13.215299,1.366301,0,0,628
1780,2,1,12,16,1,13.226958,1.367088,0,0,628
1790,2,5,17,25,1,13.248077,1.368777,0,0,635
1800,0,0,0,0,0,13.209642,1.366436,0,0,635
1810,1,2,10,14,1,13.191667,1.364006,0,0,635
1820,0,2,18,21,1,13.234797,1.368443,0,0,645
1830,1,2,4,8,1,13.255119,1.370754,0,0,649
1840,1,1,11,14,1,13.297186,1.375004,0,0,651
1850,0,1,5,7,1,13.279836,1.374955,0,0,651
1860,0,0,1,2,1,13.293263,1.376084,0,0,655
1870,0,0,0,1,1,13.234899,1.370163,0,0,655
1880,0,1,16,18,1,13.222150,1.367382,0,0,657
1890,0,0,6,7,1,13.215565,1.368101,0,0,657
1900,1,1,11,14,1,13.197739,1.365556,0,0,657
1910,0,0,0,1,1,13.165095,1.362669,0,0,657
1920,0,0,2,3,1,13.120067,1.357980,0,0,657
1930,0,0,0,1,1,13.071411,1.351684,0,0,657
1940,0,0,1,2,1,13.024453,1.347309,0,0,657
1950,1,0,15,17,1,13.007994,1.344870,0,0,657
1960,3,2,8,14,1,13.018976,1.345560,0,0,657
1970,2,1,18,22,1,13.061988,1.350200,0,0,672
1980,3,1,17,22,1,13.104706,1.354951,0,0,685
1990,3,7,19,30,1,13.140776,1.358590,0,0,690
2000,1,0,15,17,1,13.172063,1.363003,0,0,704
2010,4,1,13,19,1,13.188316,1.364168,0,0,704
2020,0,4,13,18,1,13.201403,1.365779,0,0,704
2030,1,2,16,20,1,13.219107,1.366542,0,0,705
2040,0,3,3,7,1,13.215151,1.366115,0,0,705
2050,0,0,0,1,1,13.200339,1.364841,0,0,705
2060,1,1,5,8,1,13.168203,1.361635,0,0,705
2070,0,0,3,4,1,13.125399,1.357393,0,0,705
2080,4,0,9,14,1,13.092070,1.354262,0,0,705
2090,0,0,18,19,1,13.104911,1.355099,0,0,705
2100,2,2,7,12,1,13.126713,1.357468,0,0,707
2110,4,6,20,31,1,13.161333,1.359629,0,0,711
2120,0,0,3,4,1,13.185338,1.363291,0,0,711
2130,1,1,13,16,1,13.177099,1.362288,0,0,711
2140,2,1,9,13,1,13.172788,1.361627,0,0,711
2150,5,1,14,21,1,13.197744,1.363338,0,0,711
2160,0,1,3,5,1,13.175176,1.361840,0,0,711
2170,0,0,3,4,1,13.143202,1.359037,0,0,711
2180,3,2,17,23,1,13.152346,1.359512,0,0,715
2190,3,4,9,17,1,13.187259,1.363942,0,0,724
2200,1,5,17,24,1,13.230017,1.368408,0,0,741
2210,2,0,9,12,1,13.230813,1.369303,0,0,741
2220,1,0,5,7,1,13.193076,1.365437,0,0,741
2230,3,2,18,24,1,13.196497,1.364817,0,0,745
2240,2,2,15,20,1,13.239229,1.369660,0,0,756
2250,0,1,16,18,1,13.261908,1.371669,0,0,759
2260,5,1,19,26,1,13.282843,1.373186,0,0,760
2270,1,3,16,21,1,13.337509,1.379072,0,0,774
2280,1,0,3,5,1,13.337914,1.379033,0,0,774
2290,3,0,11,15,1,13.318544,1.376702,0,0,774
2300,2,2,4,9,1,13.330058,1.377196,0,0,778
2310,2,1,12,16,1,13.339426,1.377904,0,0,779
2320,1,1,8,11,1,13.339049,1.377424,0,0,779
2330,0,1,8,10,1,13.342733,1.377734,0,0,781
2340,0,2,18,21,1,13.371303,1.380370,0,0,786
2350,0,0,3,4,1,13.355675,1.379355,0,0,786
2360,2,1,20,24,1,13.373393,1.380691,0,0,800
2370,1,0,0,2,1,13.365464,1.380706,0,0,802
2380,0,0,0,0,0,13.327444,1.377424,0,0,802
2390,3,1,4,9,1,13.290702,1.373612,0,0,802
2400,0,1,0,2,1,13.258720,1.370410,0,0,802
2410,1,2,11,15,1,13.218336,1.366515,0,0,802
2420,2,2,7,12,1,13.208561,1.365488,0,0,802
2430,5,0,15,21,1,13.190904,1.363299,0,0,802
2440,0,4,10,15,1,13.217610,1.366682,0,0,813
2450,0,0,4,5,1,13.191013,1.363973,0,0,813
2460,0,0,0,0,0,13.152105,1.359020,0,0,813
2470,0,1,6,8,1,13.135990,1.357285,0,0,813
2480,0,3,2,6,1,13.099379,1.353885,0,0,813
2490,0,0,1,2,1,13.058698,1.349946,0,0,813
2500,1,1,2,5,1,13.027691,1.346671,0,0,813
2510,0,1,5,7,1,12.992528,1.343353,0,0,813
2520,2,0,19,22,1,12.991449,1.342565,0,0,813
2530,3,5,18,27,1,13.040034,1.348289,0,0,831
2540,3,2,16,22,1,13.070573,1.351211,0,0,848
2550,1,2,13,17,1,13.105906,1.355124,0,0,852
2560,1,1,16,19,1,13.133074,1.357862,0,0,857
2570,0,1,13,15,1,13.152266,1.359995,0,0,867
2580,1,1,6,9,1,13.128668,1.357322,0,0,867
2590,3,1,13,18,1,13.152202,1.359903,0,0,879
2600,2,3,14,20,1,13.187326,1.364387,0,0,891
2610,3,3,15,22,1,13.228914,1.368888,0,0,904
2620,4,1,19,25,1,13.279855,1.374683,0,0,934
2630,0,0,0,0,0,13.298637,1.377527,0,0,942
2640,1,0,1,3,1,13.257644,1.373526,0,0,942
2650,3,0,12,16,1,13.231766,1.371516,0,0,942
2660,3,2,11,17,1,13.236611,1.371349,0,0,943
2670,0,1,13,15,1,13.269674,1.375229,0,0,970
2680,0,0,0,0,0,13.256541,1.373629,0,0,970
2690,0,0,14,15,1,13.243766,1.371170,0,0,977
2700,0,3,20,24,1,13.264580,1.373198,0,0,981
2710,1,2,11,15,1,13.289107,1.375768,0,0,991
2720,0,2,2,5,1,13.269010,1.373875,0,0,991
2730,0,2,6,9,1,13.263380,1.373687,0,0,991
2740,0,0,7,8,1,13.240950,1.371186,0,0,991
2750,0,1,17,19,1,13.229423,1.370073,0,0,991
2760,3,2,13,19,1,13.234823,1.370250,0,0,991
2770,3,1,17,22,1,13.274742,1.374927,0,0,1009
2780,1,2,16,20,1,13.289128,1.375573,0,0,1016
2790,3,2,20,26,1,13.317956,1.378640,0,0,1020
2800,3,2,20,26,1,13.358037,1.383331,0,0,1045
2810,1,2,13,17,1,13.364976,1.384129,0,0,1046
2820,1,0,3,5,1,13.358921,1.383582,0,0,1049
2830,6,2,16,25,1,13.367293,1.383666,0,0,1055
2840,3,3,19,26,1,13.387178,1.385654,0,0,1061
2850,2,5,12,20,1,13.410279,1.388228,0,0,1069
2860,0,0,6,7,1,13.386697,1.386168,0,0,1069
2870,0,0,8,9,1,13.391023,1.386694,0,0,1069
2880,1,3,5,10,1,13.373039,1.384761,0,0,1069
2890,2,3,12,18,1,13.368268,1.383998,0,0,1069
2900,1,1,4,7,1,13.360982,1.383520,0,0,1069
2910,0,0,2,3,1,13.326273,1.380150,0,0,1069
2920,0,0,0,0,0,13.292524,1.376682,0,0,1069
2930,0,1,16,18,1,13.272820,1.373600,0,0,1069
2940,2,0,14,17,1,13.283264,1.374760,0,0,1076
2950,0,2,0,3,1,13.263894,1.373170,0,0,1076
2960,0,0,0,0,0,13.223236,1.370236,0,0,1076
2970,0,0,5,6,1,13.189921,1.366617,0,0,1076
2980,0,2,9,12,1,13.170166,1.364832,0,0,1076
2990,2,0,18,21,1,13.191343,1.367050,0,0,1076
3000,2,0,1,4,1,13.199731,1.368841,0,0,1086
3010,2,2,13,18,1,13.176300,1.365961,0,0,1086
3020,1,1,11,14,1,13.192952,1.367286,0,0,1086
3030,1,3,20,25,1,13.198521,1.367605,0,0,1086
3040,1,2,11,15,1,13.228893,1.371290,0,0,1099
3050,1,2,12,16,1,13.229156,1.370827,0,0,1099
3060,4,1,13,19,1,13.251625,1.372668,0,0,1102
3070,0,0,2,3,1,13.247310,1.372570,0,0,1102
3080,0,0,0,0,0,13.213684,1.369386,0,0,1102
3090,0,0,1,2,1,13.184334,1.365909,0,0,1102
3100,1,0,1,3,1,13.147131,1.362397,0,0,1102
3110,0,0,7,8,1,13.116976,1.359657,0,0,1102
3120,1,2,15,19,1,13.088116,1.356236,0,0,1102
3130,1,5,19,26,1,13.126049,1.360685,0,0,1121
3140,0,0,0,1,1,13.120166,1.360186,0,0,1125
3150,1,1,4,7,1,13.097247,1.357831,0,0,1125
3160,1,2,4,8,1,13.066106,1.354800,0,0,1125
3170,0,0,1,2,1,13.034111,1.351591,0,0,1125
3180,0,0,2,3,1,13.008080,1.348779,0,0,1125
3190,1,1,13,16,1,12.990455,1.346971,0,0,1125
3200,0,0,10,11,1,12.998658,1.347229,0,0,1125
3210,0,0,5,6,1,12.971313,1.344981,0,0,1125
3220,1,3,11,16,1,12.963931,1.343499,0,0,1125
3230,2,4,13,20,1,12.973951,1.343998,0,0,1127
3240,1,1,7,10,1,12.967662,1.343713,0,0,1127
3250,0,0,0,1,1,12.945495,1.342037,0,0,1127
3260,1,0,6,8,1,12.928330,1.340405,0,0,1127
3270,0,1,2,4,1,12.907556,1.337719,0,0,1127
3280,0,0,11,12,1,12.892262,1.335311,0,0,1127
3290,1,2,18,22,1,12.897437,1.335954,0,0,1127
3300,4,4,20,29,1,12.913648,1.337194,0,0,1128
3310,2,3,7,13,1,12.920598,1.338356,0,0,1135
3320,1,1,9,12,1,12.943447,1.340411,0,0,1139
3330,0,0,0,0,0,12.928155,1.339309,0,0,1139
3340,0,0,2,3,1,12.901925,1.336365,0,0,1139
3350,1,2,5,9,1,12.896799,1.335609,0,0,1143
3360,0,0,1,2,1,12.885936,1.334466,0,0,1143
3370,1,2,7,11,1,12.867745,1.332687,0,0,1143
3380,3,1,12,17,1,12.874390,1.333030,0,0,1143
3390,1,1,15,18,1,12.901331,1.336129,0,0,1165
3400,0,0,0,1,1,12.876099,1.333945,0,0,1165
3410,2,0,10,13,1,12.867282,1.332769,0,0,1165
3420,0,0,0,1,1,12.851701,1.331258,0,0,1165
3430,0,0,0,0,0,12.824429,1.328695,0,0,1165
3440,0,0,0,1,1,12.795555,1.325804,0,0,1165
3450,2,3,17,23,1,12.802469,1.325864,0,0,1168
3460,1,0,12,14,1,12.811937,1.327026,0,0,1168
3470,1,5,11,18,1,12.831127,1.328956,0,0,1174
3480,1,3,9,14,1,12.844942,1.330844,0,0,1176
3490,2,4,12,19,1,12.871633,1.333630,0,0,1180
3500,1,1,4,7,1,12.882932,1.334900,0,0,1183
3510,0,0,3,4,1,12.864230,1.332589,0,0,1183
3520,3,3,19,26,1,12.867811,1.332354,0,0,1187
3530,0,0,14,15,1,12.883031,1.334304,0,0,1197
3540,2,3,17,23,1,12.905725,1.336677,0,0,1210
3550,2,4,9,16,1,12.922782,1.339012,0,0,1216
3560,4,1,6,12,1,12.944232,1.341566,0,0,1218
3570,0,1,1,3,1,12.932873,1.340330,0,0,1218
3580,1,1,4,7,1,12.909745,1.337991,0,0,1218
3590,0,0,5,6,1,12.888447,1.336150,0,0,1218
3600,0,0,0,1,1,12.857970,1.333392,0,0,1218
3610,0,1,15,17,1,12.843555,1.331301,0,0,1218
3620,6,2,16,25,1,12.872007,1.334766,0,0,1232
3630,1,0,2,4,1,12.869610,1.334724,0,0,1235
3640,0,3,8,12,1,12.855007,1.332884,0,0,1235
3650,0,2,7,10,1,12.867612,1.333867,0,0,1237
3660,2,4,16,23,1,12.877344,1.334326,0,0,1241
3670,0,0,2,3,1,12.885189,1.335611,0,0,1241
3680,0,1,4,6,1,12.865064,1.333317,0,0,1241
3690,0,1,4,6,1,12.840589,1.330612,0,0,1241
3700,4,2,4,11,1,12.836022,1.330158,0,0,1241
3710,3,0,19,23,1,12.828685,1.328933,0,0,1241
3720,5,1,17,24,1,12.865272,1.332892,0,0,1255
3730,3,1,11,16,1,12.872074,1.333431,0,0,1257
3740,7,3,18,29,1,12.885587,1.334813,0,0,1260
3750,4,11,20,36,1,12.927686,1.339860,0,0,1283
3760,0,1,14,16,1,12.962109,1.344002,0,0,1299
3770,3,1,7,12,1,12.970891,1.345003,0,0,1299
3780,0,0,7,8,1,12.959956,1.343701,0,0,1299
3790,1,0,12,14,1,12.951037,1.342609,0,0,1300
3800,3,4,18,26,1,12.983131,1.345732,0,0,1326
3810,0,3,13,17,1,13.004520,1.348224,0,0,1335
3820,3,1,16,21,1,13.022692,1.350088,0,0,1338
3830,4,2,11,18,1,13.034104,1.351288,0,0,1338
3840,1,0,2,4,1,13.021294,1.350414,0,0,1338
3850,0,0,4,5,1,13.002863,1.348227,0,0,1338
3860,0,2,17,20,1,13.002906,1.347849,0,0,1338
3870,0,1,0,2,1,13.012200,1.349047,0,0,1345
3880,3,2,11,17,1,12.988181,1.346213,0,0,1345
3890,1,2,9,13,1,12.979421,1.345036,0,0,1345
3900,2,0,7,10,1,12.970294,1.344036,0,0,1345
3910,1,0,11,13,1,12.975687,1.344613,0,0,1346
3920,2,0,3,6,1,12.980748,1.344942,0,0,1346
3930,0,0,0,0,0,12.969523,1.343868,0,0,1346
3940,2,1,17,21,1,12.959749,1.342273,0,0,1346
3950,0,1,7,9,1,12.979525,1.344799,0,0,1352
3960,0,0,0,0,0,12.963596,1.343378,0,0,1352
3970,0,0,0,1,1,12.939271,1.340875,0,0,1352
3980,0,0,8,9,1,12.929949,1.339856,0,0,1352
3990,0,1,3,5,1,12.925943,1.339076,0,0,1352
4000,0,3,7,11,1,12.915189,1.337391,0,0,1352
4010,2,0,14,17,1,12.913596,1.337073,0,0,1352
4020,0,2,18,21,1,12.925744,1.338351,0,0,1358
4030,3,1,14,19,1,12.942316,1.339949,0,0,1358
4040,1,2,18,22,1,12.959519,1.341648,0,0,1362
4050,0,0,2,3,1,12.958996,1.341820,0,0,1364
4060,0,0,0,1,1,12.941957,1.340212,0,0,1364
4070,0,1,13,15,1,12.945586,1.340130,0,0,1364
4080,0,0,6,7,1,12.933753,1.339197,0,0,1364
4090,0,0,0,0,0,12.921494,1.338150,0,0,1364
4100,6,1,17,25,1,12.919792,1.337351,0,0,1364
4110,1,0,12,14,1,12.946280,1.340688,0,0,1383
4120,0,0,7,8,1,12.935797,1.339587,0,0,1383
4130,2,0,2,5,1,12.918668,1.338034,0,0,1383
4140,0,0,1,2,1,12.899872,1.336306,0,0,1383
4150,0,1,2,4,1,12.890917,1.334996,0,0,1383
4160,0,0,8,9,1,12.881307,1.333455,0,0,1383
4170,2,5,14,22,1,12.900860,1.334969,0,0,1390
4180,3,0,3,7,1,12.907806,1.335213,0,0,1390
4190,0,2,6,9,1,12.894600,1.333540,0,0,1390
4200,0,0,0,1,1,12.885255,1.332367,0,0,1390
4210,1,1,9,12,1,12.891799,1.333198,0,0,1390
4220,3,2,17,23,1,12.898748,1.333482,0,0,1390
4230,0,5,16,22,1,12.908102,1.334081,0,0,1390
4240,4,2,18,25,1,12.932253,1.336667,0,0,1402
4250,4,2,19,26,1,12.956155,1.339422,0,0,1417
4260,1,1,16,19,1,12.992793,1.343788,0,0,1452
4270,3,5,19,28,1,13.019536,1.346511,0,0,1461
4280,0,1,4,6,1,13.029775,1.347886,0,0,1468
4290,1,1,15,18,1,13.024665,1.347542,0,0,1468
4300,0,0,1,2,1,13.015073,1.347024,0,0,1468
4310,0,0,0,0,0,12.996472,1.344699,0,0,1468
4320,0,1,13,15,1,12.978979,1.342910,0,0,1468
4330,0,0,5,6,1,12.991285,1.344236,0,0,1471
4340,1,1,8,11,1,12.977621,1.343067,0,0,1471
4350,1,0,2,4,1,12.964193,1.341506,0,0,1471
4360,0,2,11,14,1,12.950071,1.339874,0,0,1471
4370,2,3,14,20,1,12.954033,1.340146,0,0,1471
4380,3,2,11,17,1,12.969366,1.341215,0,0,1473
4390,4,1,9,15,1,12.974333,1.341751,0,0,1473
4400,2,1,2,6,1,12.959769,1.340613,0,0,1473
4410,3,1,14,19,1,12.960476,1.340424,0,0,1473
4420,2,0,10,13,1,12.972507,1.341942,0,0,1473
4430,0,0,0,0,0,12.975180,1.342208,0,0,1478
4440,0,1,6,8,1,12.964994,1.341206,0,0,1478
4450,0,0,0,0,0,12.942250,1.339466,0,0,1478
4460,0,1,7,9,1,12.934219,1.338437,0,0,1478
4470,1,2,20,24,1,12.951269,1.340314,0,0,1483
4480,2,2,12,17,1,12.972486,1.342963,0,0,1500
4490,0,1,8,10,1,12.965711,1.342342,0,0,1500
4500,1,2,2,6,1,12.953382,1.341177,0,0,1500
4510,0,0,0,0,0,12.932638,1.339354,0,0,1500
4520,3,0,4,8,1,12.917937,1.337879,0,0,1500
4530,1,1,15,18,1,12.930459,1.339163,0,0,1500
4540,0,1,6,8,1,12.928229,1.339040,0,0,1500
4550,0,0,1,2,1,12.906157,1.337167,0,0,1500
4560,1,0,9,11,1,12.896976,1.336201,0,0,1500
4570,0,0,2,3,1,12.879881,1.334536,0,0,1500
4580,1,1,3,6,1,12.856757,1.332306,0,0,1500
4590,0,0,0,0,0,12.836017,1.329992,0,0,1500
4600,1,2,17,21,1,12.831306,1.329070,0,0,1503
4610,4,2,11,18,1,12.850060,1.331149,0,0,1508
4620,6,1,18,26,1,12.872276,1.333287,0,0,1528
4630,1,3,20,25,1,12.896253,1.336115,0,0,1554
4640,1,0,1,3,1,12.889344,1.335683,0,0,1560
4650,0,0,0,1,1,12.873908,1.334218,0,0,1560
4660,0,1,4,6,1,12.860542,1.332995,0,0,1560
4670,0,0,0,0,0,12.848549,1.331618,0,0,1560
4680,0,0,0,1,1,12.829292,1.329873,0,0,1560
4690,0,1,2,4,1,12.806190,1.327521,0,0,1560
4700,0,1,10,12,1,12.791977,1.326061,0,0,1560
4710,1,5,16,23,1,12.800127,1.326453,0,0,1562
4720,2,1,2,6,1,12.808370,1.327234,0,0,1571
4730,0,1,8,10,1,12.793717,1.325875,0,0,1571
4740,0,2,5,8,1,12.777377,1.324023,0,0,1571
4750,0,1,3,5,1,12.772072,1.323430,0,0,1571
4760,1,1,1,4,1,12.753899,1.321446,0,0,1571
